iter	Passed	Remaining
0	74	74185
1	88	44102
2	101	33649
3	114	28436
4	126	25166
5	138	22985
6	151	21470
7	164	20353
8	177	19532
9	189	18802
10	202	18240
11	215	17722
12	227	17303
13	240	16910
14	252	16581
15	264	16290
16	277	16040
17	289	15798
18	302	15616
19	314	15425
20	327	15265
21	339	15108
22	352	14964
23	365	14850
24	378	14767
25	391	14650
26	403	14549
27	416	14446
28	428	14348
29	440	14256
30	453	14171
31	465	14088
32	478	14035
33	493	14009
34	505	13934
35	517	13859
36	530	13810
37	542	13743
38	555	13677
39	567	13614
40	579	13559
41	592	13511
42	604	13460
43	617	13405
44	629	13358
45	641	13312
46	653	13259
47	666	13214
48	678	13168
49	690	13124
50	703	13081
51	715	13042
52	727	13005
53	740	12965
54	752	12935
55	762	12854
56	774	12819
57	787	12783
58	799	12752
59	812	12722
60	824	12690
61	836	12659
62	849	12628
63	861	12593
64	873	12562
65	885	12531
66	898	12507
67	910	12478
68	922	12453
69	935	12425
70	947	12397
71	959	12369
72	972	12343
73	984	12315
74	996	12289
75	1009	12268
76	1021	12243
77	1033	12219
78	1046	12196
79	1058	12172
80	1070	12147
81	1083	12124
82	1095	12099
83	1107	12080
84	1120	12058
85	1132	12034
86	1144	12010
87	1157	11992
88	1169	11972
89	1181	11950
90	1194	11929
91	1206	11911
92	1219	11891
93	1231	11869
94	1243	11846
95	1255	11823
96	1267	11801
97	1280	11784
98	1292	11763
99	1305	11745
100	1317	11725
101	1329	11704
102	1341	11683
103	1353	11664
104	1366	11650
105	1379	11631
106	1391	11611
107	1403	11593
108	1415	11572
109	1428	11555
110	1440	11535
111	1452	11515
112	1464	11497
113	1476	11478
114	1489	11461
115	1501	11444
116	1514	11428
117	1526	11409
118	1538	11392
119	1551	11376
120	1563	11357
121	1575	11339
122	1587	11320
123	1600	11305
124	1612	11288
125	1625	11274
126	1637	11257
127	1649	11240
128	1662	11222
129	1674	11205
130	1686	11187
131	1698	11171
132	1711	11156
133	1724	11142
134	1737	11129
135	1749	11116
136	1762	11103
137	1774	11087
138	1787	11070
139	1799	11056
140	1812	11039
141	1824	11022
142	1836	11005
143	1848	10988
144	1860	10972
145	1873	10955
146	1885	10940
147	1897	10924
148	1910	10910
149	1922	10893
150	1934	10877
151	1946	10861
152	1958	10844
153	1971	10828
154	1983	10812
155	1995	10797
156	2008	10782
157	2020	10767
158	2032	10751
159	2044	10736
160	2057	10720
161	2069	10705
162	2081	10689
163	2093	10673
164	2106	10659
165	2118	10644
166	2130	10628
167	2143	10613
168	2155	10601
169	2168	10587
170	2180	10571
171	2192	10555
172	2205	10541
173	2217	10527
174	2229	10511
175	2242	10496
176	2254	10481
177	2266	10466
178	2278	10452
179	2291	10437
180	2303	10423
181	2315	10408
182	2328	10394
183	2340	10378
184	2352	10364
185	2364	10349
186	2377	10335
187	2389	10320
188	2401	10306
189	2414	10292
190	2426	10278
191	2439	10264
192	2451	10249
193	2463	10235
194	2475	10220
195	2488	10206
196	2500	10192
197	2513	10179
198	2525	10166
199	2538	10152
200	2550	10138
201	2562	10124
202	2575	10110
203	2587	10095
204	2599	10080
205	2611	10066
206	2623	10052
207	2636	10037
208	2648	10022
209	2660	10007
210	2672	9992
211	2684	9979
212	2697	9965
213	2709	9952
214	2722	9938
215	2734	9924
216	2746	9909
217	2758	9895
218	2771	9883
219	2783	9868
220	2795	9854
221	2808	9840
222	2820	9826
223	2832	9812
224	2844	9798
225	2856	9784
226	2869	9770
227	2881	9756
228	2893	9742
229	2906	9729
230	2918	9717
231	2931	9703
232	2943	9689
233	2955	9676
234	2968	9662
235	2980	9648
236	2992	9634
237	3004	9620
238	3017	9606
239	3029	9592
240	3041	9580
241	3054	9565
242	3066	9552
243	3078	9538
244	3090	9525
245	3103	9511
246	3115	9498
247	3127	9484
248	3140	9470
249	3152	9457
250	3164	9444
251	3177	9430
252	3189	9416
253	3201	9403
254	3214	9389
255	3226	9376
256	3238	9363
257	3251	9350
258	3263	9337
259	3275	9323
260	3287	9309
261	3299	9295
262	3312	9282
263	3325	9269
264	3337	9256
265	3349	9242
266	3361	9228
267	3373	9215
268	3386	9201
269	3398	9188
